Company,Location,Role
AQR,"Greenwich, CT","Research, Portfolio Implementation"
Akuna Capital,"Chicago, Boston","Software, Trading, Quant Internships. Legal authorization to work in the U.S. is required."
Amazon,"Seattle, Washington",SWE Intern (2022 summer)
Arrowstreet Capital,"Boston, MA",Quant
Asana,"San Francisco, CA",SWE Internship
Audible,"Newark, NJ",Software Development Internship
BNP Paribas,Various,Other positions here
Bessemer Ventures Fellowship,Various,
BlackStone,NYC,Data Science
Bridgewater Associates,"Westport, CT",
Caterpillar,Illinois,
Citadel,"Chicago, New York, Hong Kong","Software, Computer, Network"
Credit Suisse,"Raleigh, NYC","Search ""2022 Americas Technology Summer Analyst Program"""
D. E. Shaw,NYC,"Software, Trading, Quant, System Internships"
Five Rings,NYC,"Software, Trading, Research Internships"
GE,Various,"GE Aviation Aviation Systems, GE Gas Power Digital Technology and other Intern positions are available. Some roles are restricted to U.S. persons only or whose who are legally authorized to work in the United States."
General Motors,"Warren, MI","Hardware Engineer, Software Engineer internships. Please only apply if you do not need sponsorship to work in the United States now or in the future."
Hudson River Trading,"NYC, Chicago, London","SWE, Algo Internship"
JPMorgan Chase & Co.,Various,Summer Analyst
KeyBank,Various,"Enterprise Security, Enterprise Payments, Technology and other Intern positions are available. Some positions may NOT be eligible for employment visa sponsorship for non-U.S. citizens."
Morgan Stanley,NYC,Technology Summer Analyst Program. Note: Requires HireVue submission up to 72 Hours after application submission.
Optiver,Chicago,"Interest Forms for: Tech, Trading"
RBC Capital Markets,NYC,
Salesforce,Various,"Software Engineering, Security. Must be attending a University in North America."
Schneider Downs,"Pittsburgh, PA",IT Intern
Second Order Effects,"El Segundo, CA",Applicant must be a U.S. citizen or eligible to obtain the required authorizations from the U.S. Department of State.
Susquehanna (SIG),"Bala Cynwyd, PA",Software Engineering Internship. Visa sponsorship is available for this position.
Target,"Minneapolis, MN",
Toyota Connected,"Plano, Texas",Software Engineering Summer Intern
Vanguard,Various,"App Dev, Security & IT internships"
